anonymous_query_id,anonymous_filename,query_id,node_id,source_fresh_id,source_version_id,ground_truth_repo,snapshot_commit,snapshot_resolution,java_path,java_mapping_status,high_confidence_mapping,nicad_source_relpath
Q0001,Q0001_N01.class,Q6K00181,Q6K00181_N01,FMOD0077,n4xzuN3I,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,DATE_HEURISTIC,common/src/main/java/dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.java,EXACT_PACKAGE_SUFFIX,False,data/phase10a4_nicad_query_corpus/Q0001/Q0001_N01/Query.java
Q0001,Q0001_N02.class,Q6K00181,Q6K00181_N02,FMOD0077,n4xzuN3I,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,DATE_HEURISTIC,common/src/main/java/dev/terminalmc/chatnotify/ChatNotify.java,EXACT_PACKAGE_SUFFIX,False,data/phase10a4_nicad_query_corpus/Q0001/Q0001_N02/Query.java
Q0001,Q0001_N03.class,Q6K00181,Q6K00181_N04,FMOD0077,n4xzuN3I,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,DATE_HEURISTIC,common/src/main/java/dev/terminalmc/chatnotify/gui/widget/list/FilterList.java,EXACT_PACKAGE_SUFFIX,False,data/phase10a4_nicad_query_corpus/Q0001/Q0001_N03/Query.java
Q0001,Q0001_N04.class,Q6K00181,Q6K00181_N05,FMOD0077,n4xzuN3I,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,DATE_HEURISTIC,common/src/main/java/dev/terminalmc/chatnotify/command/Commands.java,EXACT_PACKAGE_SUFFIX,False,data/phase10a4_nicad_query_corpus/Q0001/Q0001_N04/Query.java
Q0001,Q0001_N05.class,Q6K00181,Q6K00181_N06,FMOD0077,n4xzuN3I,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,DATE_HEURISTIC,common/src/main/java/dev/terminalmc/chatnotify/gui/screen/RootScreen.java,EXACT_PACKAGE_SUFFIX,False,data/phase10a4_nicad_query_corpus/Q0001/Q0001_N05/Query.java
Q0003,Q0003_N01.class,Q6K00183,Q6K00183_N01,FMOD0023,603d4gFf,https://github.com/quiqueck/BetterEnd,1721fb43c852eefbf1390defbc6fed5b35927317,DATE_HEURISTIC,src/main/java/org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity.java,EXACT_PACKAGE_SUFFIX,False,data/phase10a4_nicad_query_corpus/Q0003/Q0003_N01/Query.java
Q0003,Q0003_N03.class,Q6K00183,Q6K00183_N05,FMOD0023,603d4gFf,https://github.com/quiqueck/BetterEnd,1721fb43c852eefbf1390defbc6fed5b35927317,DATE_HEURISTIC,src/main/java/org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity.java,EXACT_PACKAGE_SUFFIX,False,data/phase10a4_nicad_query_corpus/Q0003/Q0003_N03/Query.java
Q0004,Q0004_N01.class,Q6K00184,Q6K00184_N02,FMOD0004,gs62LOlx,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,EXACT_NORMALIZED_TAG,src/main/java/com/skelly/deepstash/ExcaMateNetworking.java,EXACT_PACKAGE_SUFFIX,True,data/phase10a4_nicad_query_corpus/Q0004/Q0004_N01/Query.java
Q0004,Q0004_N02.class,Q6K00184,Q6K00184_N03,FMOD0004,gs62LOlx,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,EXACT_NORMALIZED_TAG,src/main/java/com/skelly/deepstash/ExcaMateXpCapture.java,EXACT_PACKAGE_SUFFIX,True,data/phase10a4_nicad_query_corpus/Q0004/Q0004_N02/Query.java
Q0004,Q0004_N03.class,Q6K00184,Q6K00184_N04,FMOD0004,gs62LOlx,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,EXACT_NORMALIZED_TAG,src/main/java/com/skelly/deepstash/mixin/ServerPlayerGameModeMixin.java,EXACT_PACKAGE_SUFFIX,True,data/phase10a4_nicad_query_corpus/Q0004/Q0004_N03/Query.java
